Zip Code,SizeRank,MsaName,2019 Average Rental Price,Total Occupied Housing Units %,Total Vacant Housing Units %,Vacancy Rate,Rental Vacancy Rate %,1 Unit_Detached %,Total 1Unit attached ,1 Unit_Attached %,2 Units %,3 to 4 Units %,5 to 9 units % ,15 to 19 units % ,20 or more units % ,Total population,Median age (years),Sex ratio (males per 100 females),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%),Median household income in the past 12 months (2019 inflation-adjusted $),Below the poverty level in the past 12 months (% population 20-64 years),Disability (% population 20-64 years),Labor Force Participation Rate (16+ years old),Labor Force Participation Rate (% population 20-64 years old),Employment/Population Ratio (16+ years old),Employment/Population Ratio (20-64 years old),Unemployment rate (16+ years old),White (% of population 16+),Black (% of population 16+),American Indian and Alaska Native (% of population 16+),Asian (% of population 16+),Native Hawaiian and Other Pacific Islander (% of population 16+),Other race (% of population 16+),Two or more races (% of population 16+),Hispanic (% of population 16+),White not Hispanic (% of population 16+),Less than high school graduate (% population 25-64),High school graduate (% population 25-64),Some college or associate's degree (% population 25-64),Bachelor's degree or higher (% population 25-64),Total in Labor Force (% of Sample Population),Total Not in Labor Force (% of Sample Population),Total in Labor Force and Employed (% of Sample Population),"Total in Labor Force, Employed, and With Health Insurance (% of Sample Population)","Total in Labor Force, Employed, and With Health Insurance  - Private Health Insurance  (% of Sample Population)","Total in Labor Force, Employed, and With Health Insurance  - Public Health Insurance (% of Sample Population)","Total in Labor Force, Employed, and With No Health Insurance (% of Sample Population)",Total in Labor Force and Unemployed  (% of Sample Population),"Total in Labor Force, Unemployed, and With Health Insurance (% of Sample Population)","Total in Labor Force, Unemployed, and With Health Insurance - Private Health Insurance (% of Sample Population)","Total in Labor Force, Unemployed, and With Health Insurance - Public Health Insurance (% of Sample Population) ","Total in Labor Force, Unemployed, and With No Health Insurance (% of Sample Population)",Total Not in Labor Force (% of Sample Population),Total Not in Labor Force and With Health Insurance (% of Sample Population),Total Not in Labor Force and With Health Insurance - Private Health Insurance (% of Sample Population),Total Not in Labor Force and With Health Insurance - Public Health Insurance (% of Sample Population),Total Not in Labor Force and With No Health Insurance (% of Sample Population),Total Population 18 to 24 Years Old,Less than high school graduate - Ages 18 to 24,High school graduate (includes equivalency) - Ages 18 to 24,Some college or associate's degree - Ages 18 to 24,Bachelor's degree or higher - Ages 18 to 24,Total Population 25 Years Old and Over,Less than 9th grade - Ages 25+,"9th to 12th grade, no diploma - Ages 25+",High school graduate (includes equivalency) - Ages 25+,0
10025,1,"New York, NY",3333.833333,86.1,13.9,1.9,5.2,1,237,0.5,0.4,1.5,3.9,9.3,83.3,92251,41.4,84.1,4.2,3.7,4.2,3.7,7.3,11.2,8.4,5.4,5.9,6.4,6.4,5.4,6.8,6.6,5.5,3.2,2.7,2.9,91624,13.79280763,7.091139935,64.3,77.9,60.8,74.2,5.4,66.25883464,11.85238551,0.078254065,10.36431615,0.016147664,7.927260984,3.502800999,23.20170917,54.55923087,8.473557692,9.944944169,11.13523573,70.44626241,77.02855028,22.97144972,73.24988644,70.08025034,65.75985464,6.036440721,3.169636098,3.77866384,3.538081058,2.582479517,1.389659988,0.240582782,22.97144972,20.80956947,14.31046956,8.89988055,2.161880247,77.02855028,22.97144972,73.24988644,70.08025034,65.75985464,6.036440721,3.169636098,3.77866384,3.538081058,
60657,2,"Chicago, IL",2570.333333,92.1,7.9,2.2,4.6,8.6,1342,3.3,5.6,15.9,13.6,5.9,47.1,70958,31.2,101,5.5,3.2,2.9,1.6,11.8,21,14.7,9.4,5,5,4.7,3.6,3.6,2.8,2,1,1.2,1,95173,7.963873737,2.786372172,84,90.8,81.5,88.2,3,86.496,3.1696,0.1424,6.832,0.064,0.7552,2.5408,7.3296,80.4848,1.134068339,3.172866521,10.17084666,85.52221848,90.79694537,9.203054631,88.19445681,85.28579312,84.12873596,1.459672108,2.908663688,2.602488563,2.298093526,2.027520159,0.270573366,0.304395037,9.203054631,8.102960286,6.913861545,1.349306656,1.100094345,90.79694537,9.203054631,88.19445681,85.28579312,84.12873596,1.459672108,2.908663688,2.602488563,2.298093526,
10023,3,"New York, NY",2590.333333,82.9,17.1,2,3.4,1.4,393,1,1,0.5,7.9,7.7,80.5,62541,43.3,78.7,5.2,3.6,3.1,3.4,3.9,7.3,10.3,8.1,7.9,6,6.2,6.5,6.1,6.4,6.5,4,2.3,3.3,132605,7.170567531,5.187164402,68,83.3,65.3,80,3.9,79.26562728,4.9449949,0.122031182,10.5657147,0,3.380445869,1.72118607,9.973772403,72.66683666,1.510209675,5.966835686,7.21392353,85.30903111,82.16860156,17.83139844,78.9210107,76.93552875,73.73599413,3.826795154,1.985481954,3.247590864,3.075600071,2.453398083,0.685433897,0.171990793,17.83139844,16.9790323,15.38811746,3.644687255,0.852366138,82.16860156,17.83139844,78.9210107,76.93552875,73.73599413,3.826795154,1.985481954,3.247590864,3.075600071,
77494,4,"Houston, TX",2572.458333,95.1,4.9,2.9,6.9,81.2,891,2.3,0.3,0.2,3.3,4,8.7,118291,35.2,93.7,7.5,9.6,10.4,7.8,3.9,4.2,6.1,9.2,10.4,8.9,6.4,4.3,3.3,3.2,1.8,1.4,0.8,0.8,135943,4.220202653,3.81728373,67.5,78,63.8,74.3,5.5,66.72651684,7.868891968,0.888112309,19.27938784,0.015665482,3.041513527,2.179912032,22.61854552,47.75320841,2.32233645,7.860339048,25.39013007,64.42719443,77.68441809,22.31558191,73.90997248,69.68524214,69.44832762,1.402357373,4.224730344,3.774445605,3.415395029,3.310917198,0.189825919,0.359050576,22.31558191,19.23422164,18.242418,1.456803567,3.081360272,77.68441809,22.31558191,73.90997248,69.68524214,69.44832762,1.402357373,4.224730344,3.774445605,3.415395029,
60614,5,"Chicago, IL",1870.041667,92.4,7.6,1.6,2.8,10.7,3418,9.4,4.8,14,11.3,7.1,42.4,71954,30.5,104,5.2,3.7,3.5,4.8,11.2,19.9,12.9,7.5,4.9,5.5,3.8,4.1,3.8,3.5,2.4,1.4,1.1,1,117138,7.929815273,2.768061412,78.3,87.6,76.3,85.5,2.6,84.19680834,4.745914484,0.047970834,7.117272698,0.025584445,1.42633279,2.440116409,6.296971441,79.64437622,0.992572435,3.54203377,6.956929048,88.50846475,86.98696462,13.01303538,84.86592179,82.86592179,82.26070764,1.156424581,2,2.121042831,1.789571695,1.573556797,0.249534451,0.331471136,13.01303538,12.1452514,10.55307263,1.901303538,0.867783985,86.98696462,13.01303538,84.86592179,82.86592179,82.26070764,1.156424581,2,2.121042831,1.789571695,
77449,6,"Houston, TX",1720.625,96,4,1.2,4.7,86.4,1060,2.7,0.3,1.1,1.6,2.1,4,128294,31.7,91.5,7.9,9,9.6,7.3,6.2,7.3,7.5,8.4,8.2,7.3,6.3,4.7,3.9,2.4,1.7,1.2,0.8,0.4,78112,6.27434124,6.280853946,74.5,83.9,70.1,79.4,5.8,59.54030466,21.06250339,0.546430314,5.751612728,0.158291321,10.49493143,2.445926167,45.67571963,26.4617553,13.07626368,25.62366513,33.05534165,28.24472954,83.03467654,16.96532346,78.65380931,62.14445367,59.47250782,4.122868638,16.50935564,4.380867233,1.983523852,1.467526662,0.51599719,2.397343381,16.96532346,11.37875982,8.255955042,4.173957469,5.586563638,83.03467654,16.96532346,78.65380931,62.14445367,59.47250782,4.122868638,16.50935564,4.380867233,1.983523852,
10002,7,"New York, NY",2245.25,93.1,6.9,1.9,2,0.8,100,0.3,1,2,5.8,15.8,74.3,74479,44.3,88.6,3.4,3.5,3.8,3.5,6.1,9.9,8,6.7,5.9,7.1,5.6,6.5,7.3,6,5.1,3.5,4,4.1,36982,22.58840561,8.688339614,53.9,72.4,50.5,68,6.2,32.68710618,8.629625712,0.882455159,43.37327551,0.033243174,10.48519923,3.90909503,24.45790961,22.76099669,23.66379818,18.3472828,16.293764,41.69515502,71.71277914,28.28722086,67.29480473,63.17094179,47.66706582,17.1466986,4.123862944,4.417974412,3.558748766,0.836116888,2.890695574,0.859225647,28.28722086,25.47215395,8.972500578,17.74122392,2.81506691,71.71277914,28.28722086,67.29480473,63.17094179,47.66706582,17.1466986,4.123862944,4.417974412,3.558748766,
77084,8,"Houston, TX",2197.583333,92.4,7.6,1.2,7.4,67.7,1246,3.3,0.7,1.9,3.2,12,10.8,107673,33.1,95,7.3,7.1,8.8,7.6,7.1,7.4,7.9,8,7,5.9,7.3,5.2,5.3,3.6,2.3,1,0.7,0.3,64133,9.629460896,7.787395596,70.7,80.1,66.2,75.9,6.4,55.32030603,15.58456005,0.663725018,11.54659053,0.016067831,14.23486225,2.633888291,41.12870333,30.21741011,16.82613849,21.75974439,31.22154845,30.19256867,79.65066151,20.34933849,75.38427234,59.8156682,57.94856548,3.636093355,15.56860413,4.266389178,2.002378475,1.403300134,0.607997622,2.264010703,20.34933849,13.57811803,10.54556266,4.309499034,6.771220455,79.65066151,20.34933849,75.38427234,59.8156682,57.94856548,3.636093355,15.56860413,4.266389178,2.002378475,
79936,9,"El Paso, TX",1192.958333,95.1,4.9,1.2,8.3,77.1,1198,3.2,1.9,4.2,4.5,4.1,3.3,111620,31.8,96.3,5.9,7.1,7.8,8.6,9.1,9,6,5.5,6.3,6.6,6.3,6.4,5,4.2,2.4,1.7,1,1.1,54870,11.2025599,10.24408394,65.8,78.3,61.1,72.7,4.7,87.2172967,2.498900438,0.486122364,1.285909396,0.377323549,6.688812241,1.445635316,85.58531447,9.942359777,10.60547561,24.33134433,39.82625483,25.23692524,77.2862448,22.7137552,73.63624258,57.68690171,53.91557798,5.758333457,15.94934087,3.650002219,1.927828493,1.483969285,0.553344479,1.722173726,22.7137552,17.08118185,11.97532143,6.51289411,5.632573348,77.2862448,22.7137552,73.63624258,57.68690171,53.91557798,5.758333457,15.94934087,3.650002219,1.927828493,
60640,10,"Chicago, IL",1241.375,92.5,7.5,0.7,5.9,5.8,581,1.5,4.4,9.2,21.6,8.4,48.9,69363,36.8,108.4,4.2,4.2,3.1,2.3,6.7,12.9,12.8,8.9,7.8,6.9,6.2,5.8,4.8,3.8,3.1,2,2.3,2.2,57221,16.4320643,9.136623706,71.8,83.4,68.7,79.7,4.2,67.84509579,14.87473391,0.640248895,11.26739807,0,2.716554773,2.655968561,12.46274767,59.31553954,8.310635609,12.61848212,18.25114941,60.81973286,84.32234725,15.67765275,80.68474807,73.47350749,67.08172606,7.197249815,7.211240581,3.637599185,2.900085943,1.992684828,1.00933384,0.737513241,15.67765275,13.44112885,5.356464733,8.95209162,2.236523894,84.32234725,15.67765275,80.68474807,73.47350749,67.08172606,7.197249815,7.211240581,3.637599185,2.900085943,
